ST,TYPE,ServiceCostTrans,ServiceCostNonTrans,TotalNonTrans,TotalTrans,TotalWhiteTrans,TotalBlackTrans,TotalAIANTrans,TotalAsianTrans,TotalNHPITrans,TotalHspanicTrans,trans_nontrans_costRatio,trans_nontrans_Ratio,trans_costPercent,trans_Percent,,,,
New York,Blind,3322506,8672125,854,150,111,39,5,6,3,36,0.383124782,0.175644028,27.69994342,14.94023904,,,,
Montana,Combined,2634261,6777752,2924,784,693,19,108,10,2,35,0.388662937,0.268125855,27.98828476,21.14347357,,,,
New Hampshire,Combined,1947157,4934758,2027,794,776,15,2,3,5,21,0.394580038,0.391711889,28.29382519,28.1460475,,,,
South Carolina,General,4954943,12156574,10738,4362,1819,2532,18,7,9,105,0.407593702,0.406220898,28.95677221,28.88741722,,,,
Florida,General,23323541,56340596,20584,9244,6180,2959,18,78,9,2066,0.413973984,0.449086669,29.27734094,30.99101515,,,,
Washington,General,8180737,19485564,8360,2617,2217,236,146,91,85,350,0.419835782,0.313038278,29.56931973,23.84075795,,,,
Massachusetts,Blind,461643,1073469,325,38,32,5,0,1,2,9,0.430047817,0.116923077,30.07226834,10.46831956,,,,
Kentucky,Blind,810945,1876119,551,75,69,7,0,1,0,0,0.432246036,0.136116152,30.17959379,11.98083067,,,,
Texas,General,37323222,85799787,23123,10747,7873,2726,90,125,60,3627,0.435003667,0.464775332,30.31376694,31.73014467,,,,
Massachusetts,General,4345103,9740294,7560,3426,2769,580,22,95,15,452,0.446095672,0.453174603,30.84828209,31.18514473,,,,
Washington,Blind,785934,1749477,339,91,76,7,4,7,4,11,0.449239401,0.268436578,30.99828785,21.1627907,,,,
Wisconsin,Combined,12895493,28283258,12646,5093,3766,1263,170,70,19,333,0.455940861,0.402736043,31.31589154,28.71075032,,,,
Idaho,Blind,174090,380356,152,21,19,1,0,1,0,0,0.457702784,0.138157895,31.3989099,12.13872832,,,,
North Carolina,General,20458392,39818036,16289,8049,4064,3860,142,48,15,313,0.513797114,0.494137148,33.94094952,33.07173967,,,,
Vermont,General,2380562,4566936,2951,1306,1275,21,39,8,1,8,0.521260206,0.442561843,34.26502606,30.67888184,,,,
