ST,TYPE,year,clsrmnths_mean,eligmnths_mean,ipemnths_mean,clsrmnths_sd,eligmnths_sd,ipemnths_sd,clsrmnths_median,eligmnths_median,ipemnths_median,clsrmnths_min,eligmnths_min,ipemnths_min,clsrmnths_max,eligmnths_max,ipemnths_max
Nevada,Combined,2011,15.67356682,14.67940408,11.46525527,12.53764531,12.45935147,11.10535039,12.1,10.9,7.9,1.166666667,0.6,0.233333333,126.4666667,123.5666667,106.7666667
New Hampshire,Combined,2008,26.58602069,25.88771133,21.57219278,23.91225468,23.73224765,21.87586463,18.53333333,17.86666667,14.23333333,0.7,0.7,0.7,259.3666667,246.7,246.7
New Hampshire,Combined,2009,31.3520938,30.57860972,26.55792295,26.68150915,26.52769831,25.29732836,23.75,23.31666667,18.35,1,1,1,311.1333333,300.6666667,299.1
New Hampshire,Combined,2010,26.6264998,25.9306913,21.75399285,25.30249844,25.1889295,23.53138949,17.93333333,16.98333333,12.88333333,1.166666667,1.166666667,1.166666667,337.2333333,323.2333333,323.2333333
New Hampshire,Combined,2011,27.00311858,26.18780579,22.26319328,25.30600784,25.23160235,23.81339009,17.8,16.53333333,12.86666667,2.233333333,1.6,0.733333333,182.3,182.3,179.1333333
New Jersey,Blind,2008,25.1718886,24.03498695,19.76692776,30.46025804,30.07612999,26.09898479,12.53333333,11.73333333,9.666666667,1.966666667,1.966666667,1.966666667,203.1,200.8,170.1333333
New Jersey,Blind,2009,26.47640538,25.27284244,20.15969913,31.19498446,30.74436274,25.49037258,14.9,13.43333333,10.9,1.1,1.1,1.1,235.7,233.3,205.2666667
New Jersey,Blind,2010,29.39105882,28.35678431,23.82352941,32.4802478,32.21586653,27.74439157,15.83333333,15.13333333,13.16666667,3.2,2.933333333,1.966666667,184.6,177.1,175.9666667
New Jersey,Blind,2011,27.33646362,26.16480541,21.99932318,30.34838974,29.83320813,24.78304583,14.7,13.51666667,11.61666667,2.3,1.866666667,1.866666667,151.2333333,151.2333333,142.6666667
New Jersey,General,2008,26.69370982,25.47798694,23.21278095,21.61967686,21.51153149,21.00505256,20.1,19,16.5,1.533333333,0.466666667,0.433333333,187.6666667,177.0666667,176.8666667
New Jersey,General,2009,26.74263942,25.57258408,23.31974457,21.19563411,21.096029,20.52047404,20.03333333,18.76666667,16.5,1.233333333,0.433333333,0.033333333,214.7333333,206.4666667,184.9666667
New Jersey,General,2010,25.5715186,24.35694385,22.0266951,21.18098419,21.03016553,20.58385007,19.33333333,18.16666667,15.7,0.666666667,0.233333333,0.133333333,242.8666667,221.6333333,221.6
New Jersey,General,2011,26.32028512,25.09202306,22.61298011,20.34066822,20.24319441,19.67021111,20.83333333,19.56666667,16.93333333,1.6,1,0.033333333,213.2,210.5333333,186.5666667
New Mexico,Blind,2008,55.25310734,53.90508475,51.9700565,36.94851607,36.54380765,36.29897336,52.73333333,51.76666667,49.03333333,6,5.933333333,4.666666667,182.6333333,179.5666667,179.5333333
New Mexico,Blind,2009,48.41232493,46.14369748,44.07030812,36.4311682,34.11596479,32.04591568,38.4,36.76666667,34.43333333,4.766666667,4.4,4.1,193.2333333,193.2,142.2333333
New Mexico,Blind,2010,63.24526749,61.87572016,57.70411523,57.40547649,56.6946698,51.72002685,47.83333333,46.5,42.4,4.833333333,4.8,4.4,239.0333333,236.0666667,213.6
New Mexico,Blind,2011,51.425,49.86702899,47.97826087,36.34436423,36.28846626,36.51542716,42.8,41.05,39.33333333,5.5,4.033333333,3.1,137.6666667,135.9333333,135.1
New Mexico,General,2008,19.99195506,18.6306367,16.81529588,17.6507817,17.42576403,16.91907217,14.23333333,12.8,10.76666667,0.866666667,0.866666667,0.666666667,154.1333333,152.6,141.6666667
New Mexico,General,2009,19.67283774,18.34195854,16.46969264,18.55596863,18.46936864,18.0771978,13.95,12.36666667,10.26666667,1.8,0.533333333,0.2,180.1666667,177.6,172.6666667
